epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.57517,1.42251,3.16294,1.57934,0.62865,0.66667,0.73571,0.63769,0.66716,5.4503,1.27617,0,0,0
2,3.38612,1.45699,3.68752,1.57358,0.64568,0.66667,0.731,0.63548,0.67237,5.44961,1.27758,1.967e-05,1.967e-05,1.967e-05
3,4.43551,1.39836,4.17305,1.57716,0.65156,0.66667,0.72687,0.58366,0.68308,5.45379,1.27183,3.868e-05,3.868e-05,3.868e-05
4,5.35164,1.58168,3.44172,1.64742,0.64336,0.66667,0.72324,0.58157,0.67363,5.38398,1.27956,5.703e-05,5.703e-05,5.703e-05
5,6.02104,1.44847,3.61937,1.50958,0.64341,0.66667,0.72687,0.58352,0.67899,5.35511,1.28227,7.472e-05,7.472e-05,7.472e-05
6,6.53543,1.3653,3.82709,1.55811,0.64437,0.66667,0.72687,0.58366,0.68298,5.34615,1.28321,9.175e-05,9.175e-05,9.175e-05
7,7.01373,1.52531,3.7378,1.61121,0.63426,0.66667,0.72324,0.59539,0.6788,5.38078,1.2839,0.00010812,0.00010812,0.00010812
8,7.61793,1.63057,4.02706,1.65863,0.62868,0.66667,0.72324,0.59539,0.68137,5.44957,1.28308,0.00012383,0.00012383,0.00012383
9,8.23135,1.58532,3.94069,1.61652,0.57494,1,0.753,0.58041,0.70042,3.19678,1.2833,0.00013888,0.00013888,0.00013888
10,8.95814,0.99606,3.04007,1.33251,0.97234,1,0.995,0.81281,0.69449,2.78659,1.29107,0.00015327,0.00015327,0.00015327
11,9.78261,1.12367,2.35088,1.32461,0.97003,1,0.995,0.85156,0.65973,2.97192,1.29168,0.000167,0.000167,0.000167
12,10.5612,1.00652,2.05007,1.33963,0.93924,1,0.995,0.76367,0.74318,3.57297,1.35855,0.00018007,0.00018007,0.00018007
13,11.2648,0.89573,1.79486,1.24534,0.92285,1,0.995,0.73017,0.90703,4.96869,1.38341,0.00019248,0.00019248,0.00019248
14,11.9881,0.80204,1.73226,1.17094,0.59711,1,0.9125,0.59767,1.44226,5.25503,1.93567,0.00020423,0.00020423,0.00020423
15,12.7906,0.94324,1.4948,1.15991,0.59024,1,0.863,0.59462,1.33454,6.81414,1.87182,0.00021532,0.00021532,0.00021532
16,13.5447,0.90589,1.21301,1.13312,0.5859,1,0.863,0.66461,1.23786,6.28296,1.6261,0.00022575,0.00022575,0.00022575
17,14.3765,0.91672,1.47201,1.2395,0.72703,1,0.83,0.63722,0.87329,5.55021,1.41435,0.00023552,0.00023552,0.00023552
18,15.0834,0.80473,1.01125,1.13915,0.72703,1,0.83,0.63722,0.87329,5.55021,1.41435,0.00024463,0.00024463,0.00024463
19,15.9161,0.9441,1.17632,1.2062,0.74025,1,0.9125,0.72247,0.83426,5.32241,1.4163,0.00025308,0.00025308,0.00025308
20,16.9207,0.93589,1.07109,1.20127,0.74025,1,0.9125,0.72247,0.83426,5.32241,1.4163,0.00026087,0.00026087,0.00026087
21,18.0134,0.83993,1.06863,1.12145,0.74047,1,0.9125,0.79656,0.70681,5.21113,1.30631,0.000268,0.000268,0.000268
22,18.8121,0.81052,1.12155,1.1024,0.74047,1,0.9125,0.79656,0.70681,5.21113,1.30631,0.00027447,0.00027447,0.00027447
23,19.5362,0.78996,0.94539,1.08411,0.73836,1,0.9125,0.74717,0.6715,4.47524,1.37371,0.00028028,0.00028028,0.00028028
24,20.2656,1.03594,1.32594,1.27612,0.73836,1,0.9125,0.74717,0.6715,4.47524,1.37371,0.00028543,0.00028543,0.00028543
25,20.9937,0.90115,0.98154,1.15367,0.97393,1,0.995,0.79661,0.68557,3.71833,1.37047,0.00028992,0.00028992,0.00028992
26,21.6782,0.74516,0.92244,1.084,0.97393,1,0.995,0.79661,0.68557,3.71833,1.37047,0.00029375,0.00029375,0.00029375
27,22.3916,0.84707,0.96834,1.16423,0.9715,1,0.995,0.80761,0.695,3.6183,1.39684,0.00029692,0.00029692,0.00029692
28,23.1524,0.82843,0.86778,1.1215,0.9715,1,0.995,0.80761,0.695,3.6183,1.39684,0.00029943,0.00029943,0.00029943
29,23.9528,0.78119,0.86661,1.10433,0.94312,1,0.995,0.86317,0.58155,3.60986,1.26242,0.00030128,0.00030128,0.00030128
30,24.7263,0.87717,0.85532,1.10329,0.94312,1,0.995,0.86317,0.58155,3.60986,1.26242,0.00030247,0.00030247,0.00030247
31,25.5062,0.95091,0.91036,1.15347,0.91945,1,0.995,0.87936,0.60864,3.80971,1.23964,0.000303,0.000303,0.000303
32,30.0659,0.79516,0.7291,1.09104,0.91945,1,0.995,0.87936,0.60864,3.80971,1.23964,0.00030287,0.00030287,0.00030287
33,30.9168,0.74937,0.84524,1.05286,0.91502,1,0.995,0.92906,0.52508,4.15171,1.16818,0.00030208,0.00030208,0.00030208
34,31.7289,0.83111,0.84418,1.0971,0.91502,1,0.995,0.92906,0.52508,4.15171,1.16818,0.00030063,0.00030063,0.00030063
35,32.5606,0.92003,0.80654,1.16682,1,0.99846,0.995,0.84117,0.53231,4.70554,1.14175,0.00029852,0.00029852,0.00029852
36,33.2887,0.95262,0.86151,1.1575,1,0.99846,0.995,0.84117,0.53231,4.70554,1.14175,0.00029575,0.00029575,0.00029575
37,34.0432,0.89323,0.87504,1.19541,1,0.96156,0.995,0.8955,0.57271,4.18012,1.16182,0.00029232,0.00029232,0.00029232
38,34.7929,0.82971,0.89536,1.10321,1,0.96156,0.995,0.8955,0.57271,4.18012,1.16182,0.00028823,0.00028823,0.00028823
39,35.494,0.79116,0.81195,1.12976,1,0.96333,0.995,0.8955,0.62766,4.47068,1.21277,0.00028348,0.00028348,0.00028348
40,36.1751,0.79731,0.81035,1.17332,1,0.96333,0.995,0.8955,0.62766,4.47068,1.21277,0.00027807,0.00027807,0.00027807
41,36.924,0.86897,0.76653,1.11324,0.99557,1,0.995,0.8955,0.6333,4.08567,1.25092,0.000272,0.000272,0.000272
42,37.603,0.76118,0.88756,1.10441,0.99557,1,0.995,0.8955,0.6333,4.08567,1.25092,0.00026527,0.00026527,0.00026527
43,38.3134,0.84946,0.78486,1.08878,0.95634,1,0.995,0.92906,0.58492,3.55912,1.2729,0.00025788,0.00025788,0.00025788
44,39.1023,0.68263,0.57144,0.98586,0.95634,1,0.995,0.92906,0.58492,3.55912,1.2729,0.00024983,0.00024983,0.00024983
45,39.9635,0.91168,0.69903,1.09788,0.97258,1,0.995,0.8955,0.6025,3.09001,1.25747,0.00024112,0.00024112,0.00024112
46,41.1064,0.76438,0.64707,1.02448,0.97258,1,0.995,0.8955,0.6025,3.09001,1.25747,0.00023175,0.00023175,0.00023175
47,42.2214,0.74467,0.72731,1.10268,1,0.94492,0.995,0.8955,0.58581,2.65403,1.2348,0.00022172,0.00022172,0.00022172
48,43.1372,0.90227,0.77465,1.191,1,0.94492,0.995,0.8955,0.58581,2.65403,1.2348,0.00021103,0.00021103,0.00021103
49,43.8825,0.76958,0.68557,1.10957,0.96029,1,0.995,0.8955,0.59159,2.54477,1.2616,0.00019968,0.00019968,0.00019968
50,44.5956,0.73028,0.64108,1.08562,0.96029,1,0.995,0.8955,0.59159,2.54477,1.2616,0.00018767,0.00018767,0.00018767
51,46.366,0.72104,0.97998,1.12967,0.97035,1,0.995,0.8955,0.63204,2.42395,1.34767,0.000175,0.000175,0.000175
52,47.2895,0.71278,0.73826,1.06778,0.97035,1,0.995,0.8955,0.63204,2.42395,1.34767,0.00016167,0.00016167,0.00016167
53,48.136,0.56909,0.68247,0.92057,0.97035,1,0.995,0.8955,0.63204,2.42395,1.34767,0.00014768,0.00014768,0.00014768
54,49.0473,0.66355,0.76087,1.10928,0.97984,1,0.995,0.86256,0.65136,2.10775,1.36879,0.00013303,0.00013303,0.00013303
55,49.8013,0.66622,0.74419,1.02424,0.97984,1,0.995,0.86256,0.65136,2.10775,1.36879,0.00011772,0.00011772,0.00011772
56,50.5024,0.64206,0.67444,1.00951,0.97984,1,0.995,0.86256,0.65136,2.10775,1.36879,0.00010175,0.00010175,0.00010175
57,51.3364,0.68065,0.73236,1.01636,0.98222,1,0.995,0.86256,0.65428,1.82431,1.35176,8.512e-05,8.512e-05,8.512e-05
58,52.0235,0.66282,0.71403,1.13739,0.98222,1,0.995,0.86256,0.65428,1.82431,1.35176,6.783e-05,6.783e-05,6.783e-05
59,52.8015,0.56259,0.65327,0.89391,0.98222,1,0.995,0.86256,0.65428,1.82431,1.35176,4.988e-05,4.988e-05,4.988e-05
60,53.862,0.59287,0.63481,0.97526,0.98301,1,0.995,0.86256,0.64136,1.72324,1.31722,3.127e-05,3.127e-05,3.127e-05
